"price","life_yr","content_rating","total_revenue","total_cost","profit","availableinbothstores","genres"
"10000","10.00","Everyone","$1,800,000.00","$130,000.00","$1,670,000.00","y","Card"
"10000","10.00","Everyone","$1,800,000.00","$130,000.00","$1,670,000.00","y","Card;Brain Games"
"10000","10.00","Everyone","$1,800,000.00","$130,000.00","$1,670,000.00","y","Card"
"10000","11.00","Everyone","$1,320,000.00","$142,000.00","$1,178,000.00","y","Arcade"
"10000","11.00","Everyone","$1,320,000.00","$142,000.00","$1,178,000.00","y","Shopping"
"10000","11.00","Teen","$1,320,000.00","$142,000.00","$1,178,000.00","y","News & Magazines"
"10000","11.00","Everyone","$1,320,000.00","$142,000.00","$1,178,000.00","y","Food & Drink"
"10000","11.00","Everyone","$1,320,000.00","$142,000.00","$1,178,000.00","y","Food & Drink"
"10000","11.00","Everyone","$1,320,000.00","$142,000.00","$1,178,000.00","y","Shopping"
"10000","11.00","Teen","$1,320,000.00","$142,000.00","$1,178,000.00","y","Casual"
